"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 01:36:33 NOVT 2022","Mon Sep 05 01:36:34 NOVT 2022","540","","site.nomoreparties.stellarburgers.users.UserRegisterTest","","site.nomoreparties.stellarburgers.users.UserRegisterTest","shouldNotRegisterUserWithoutPassword","shouldNotRegisterUserWithoutPassword","Регистрация пользователя без password (null)"
"passed","Mon Sep 05 01:36:24 NOVT 2022","Mon Sep 05 01:36:28 NOVT 2022","4093","","site.nomoreparties.stellarburgers.orders.OrderCreateTest","","site.nomoreparties.stellarburgers.orders.OrderCreateTest","shouldCreateOrderWithAuthorization","shouldCreateOrderWithAuthorization","Создание заказа пользователем с авторизацией"
"passed","Mon Sep 05 01:36:34 NOVT 2022","Mon Sep 05 01:36:35 NOVT 2022","488","","site.nomoreparties.stellarburgers.users.UserRegisterTest","","site.nomoreparties.stellarburgers.users.UserRegisterTest","shouldNotRegisterUserWithEmptyName","shouldNotRegisterUserWithEmptyName","Регистрация пользователя c пустым name"
"passed","Mon Sep 05 01:36:43 NOVT 2022","Mon Sep 05 01:36:46 NOVT 2022","2489","","site.nomoreparties.stellarburgers.users.UserUpdateDataTest","","site.nomoreparties.stellarburgers.users.UserUpdateDataTest","shouldNotUpdateUserEmailIfEmailExist","shouldNotUpdateUserEmailIfEmailExist","Изменение email на уже сушествующий в системе"
"passed","Mon Sep 05 01:36:35 NOVT 2022","Mon Sep 05 01:36:36 NOVT 2022","1123","","site.nomoreparties.stellarburgers.users.UserRegisterTest","","site.nomoreparties.stellarburgers.users.UserRegisterTest","shouldRegisterUser","shouldRegisterUser","Регистрация пользователя"
"passed","Mon Sep 05 01:36:30 NOVT 2022","Mon Sep 05 01:36:31 NOVT 2022","1532","","site.nomoreparties.stellarburgers.users.UserLoginTest","","site.nomoreparties.stellarburgers.users.UserLoginTest","shouldLoginExistUser","shouldLoginExistUser","Логин под существующим пользователем"
"passed","Mon Sep 05 01:36:28 NOVT 2022","Mon Sep 05 01:36:30 NOVT 2022","2218","","site.nomoreparties.stellarburgers.orders.OrderCreateTest","","site.nomoreparties.stellarburgers.orders.OrderCreateTest","shouldNotCreateOrderWithoutIngredients","shouldNotCreateOrderWithoutIngredients","Создание заказа без ингредиентов"
"passed","Mon Sep 05 01:35:50 NOVT 2022","Mon Sep 05 01:36:13 NOVT 2022","22631","","site.nomoreparties.stellarburgers.orders.GetUserOrdersListTest","","site.nomoreparties.stellarburgers.orders.GetUserOrdersListTest","shouldGetOrderListAuthorizationUser","shouldGetOrderListAuthorizationUser","Получаем список заказов авторизованного пользователя"
"passed","Mon Sep 05 01:36:31 NOVT 2022","Mon Sep 05 01:36:33 NOVT 2022","1483","","site.nomoreparties.stellarburgers.users.UserLoginTest","","site.nomoreparties.stellarburgers.users.UserLoginTest","shouldNotLoginNotExistUser","shouldNotLoginNotExistUser","Логин под несуществующим пользователем"
"passed","Mon Sep 05 01:36:18 NOVT 2022","Mon Sep 05 01:36:20 NOVT 2022","2866","","site.nomoreparties.stellarburgers.orders.OrderCreateTest","","site.nomoreparties.stellarburgers.orders.OrderCreateTest","shouldCreateOrderWithoutAuthorization","shouldCreateOrderWithoutAuthorization","Создание заказа пользователем без авторизации"
"passed","Mon Sep 05 01:36:42 NOVT 2022","Mon Sep 05 01:36:43 NOVT 2022","1740","","site.nomoreparties.stellarburgers.users.UserUpdateDataTest","","site.nomoreparties.stellarburgers.users.UserUpdateDataTest","shouldNotUpdateUserDataWithoutAuthorization","shouldNotUpdateUserDataWithoutAuthorization","Изменение пользовательских данных без авторизаци"
"passed","Mon Sep 05 01:36:34 NOVT 2022","Mon Sep 05 01:36:34 NOVT 2022","483","","site.nomoreparties.stellarburgers.users.UserRegisterTest","","site.nomoreparties.stellarburgers.users.UserRegisterTest","shouldNotRegisterUserWithEmptyEmail","shouldNotRegisterUserWithEmptyEmail","Регистрация пользователя c пустым email"
"passed","Mon Sep 05 01:36:37 NOVT 2022","Mon Sep 05 01:36:39 NOVT 2022","2179","","site.nomoreparties.stellarburgers.users.UserRegisterTest","","site.nomoreparties.stellarburgers.users.UserRegisterTest","shouldNotRegisterExistUser","shouldNotRegisterExistUser","Регистрация пользователя, который уже зарегистрирован"
"passed","Mon Sep 05 01:36:39 NOVT 2022","Mon Sep 05 01:36:40 NOVT 2022","827","","site.nomoreparties.stellarburgers.users.UserRegisterTest","","site.nomoreparties.stellarburgers.users.UserRegisterTest","shouldNotRegisterUserWithoutName","shouldNotRegisterUserWithoutName","Регистрация пользователя без name (null)"
"passed","Mon Sep 05 01:36:33 NOVT 2022","Mon Sep 05 01:36:33 NOVT 2022","467","","site.nomoreparties.stellarburgers.users.UserRegisterTest","","site.nomoreparties.stellarburgers.users.UserRegisterTest","shouldNotRegisterUserWithEmptyPassword","shouldNotRegisterUserWithEmptyPassword","Регистрация пользователя c пустым password"
"passed","Mon Sep 05 01:36:13 NOVT 2022","Mon Sep 05 01:36:17 NOVT 2022","4685","","site.nomoreparties.stellarburgers.orders.GetUserOrdersListTest","","site.nomoreparties.stellarburgers.orders.GetUserOrdersListTest","shouldNotGetOrdersListNotAuthorizationUser","shouldNotGetOrdersListNotAuthorizationUser","Получаем список заказов неавторизованного пользователя"
"passed","Mon Sep 05 01:36:40 NOVT 2022","Mon Sep 05 01:36:42 NOVT 2022","1947","","site.nomoreparties.stellarburgers.users.UserUpdateDataTest","","site.nomoreparties.stellarburgers.users.UserUpdateDataTest","shouldUpdateUserDataWithAuthorization","shouldUpdateUserDataWithAuthorization","Изменение пользовательских данных с авторизацией"
"passed","Mon Sep 05 01:36:36 NOVT 2022","Mon Sep 05 01:36:37 NOVT 2022","429","","site.nomoreparties.stellarburgers.users.UserRegisterTest","","site.nomoreparties.stellarburgers.users.UserRegisterTest","shouldNotRegisterUserWithoutEmail","shouldNotRegisterUserWithoutEmail","Регистрация пользователя без email (null)"
"passed","Mon Sep 05 01:36:20 NOVT 2022","Mon Sep 05 01:36:24 NOVT 2022","3206","","site.nomoreparties.stellarburgers.orders.OrderCreateTest","","site.nomoreparties.stellarburgers.orders.OrderCreateTest","shouldNotCreateOrderWithInvalidIngredientHash","shouldNotCreateOrderWithInvalidIngredientHash","Создание заказа c невалидным хешем ингредиента"
